state_fips,county_fips,bus.bank,bank,time,adopt,NAME.x,pop,NAME.y,unemployment,bank.rate,bus.bank.rate
42,42089,0,2,1,11,"Monroe County, Pennsylvania",168327,"Monroe County, Pennsylvania",6.229243650311053,0.01188163515062943,0
42,42091,61,1089,1,11,"Montgomery County, Pennsylvania",856553,"Montgomery County, Pennsylvania",4.4832466071303,1.271374917839293,0.07121567492029098
42,42095,12,561,1,11,"Northampton County, Pennsylvania",312951,"Northampton County, Pennsylvania",4.576575210954474,1.7926129010611884,0.03834466098526606
42,42101,66,2604,1,11,"Philadelphia County, Pennsylvania",1603797,"Philadelphia County, Pennsylvania",8.789004353231446,1.6236468829908024,0.04115234035230144
42,42125,0,1,1,11,"Washington County, Pennsylvania",209349,"Washington County, Pennsylvania",5.398508605290766,0.004776712570874473,0
42,42001,3,165,1,11,"Adams County, Pennsylvania",103852,"Adams County, Pennsylvania",3.851503759398496,1.5887994453645573,0.028887262642991948
42,42003,0,1,1,11,"Allegheny County, Pennsylvania",1250578,"Allegheny County, Pennsylvania",4.857972420798872,7.996302509719505e-4,0
42,42011,0,1,1,11,"Berks County, Pennsylvania",428849,"Berks County, Pennsylvania",5.580697266849396,0.0023318230892458653,0
42,42013,0,1,1,11,"Blair County, Pennsylvania",122822,"Blair County, Pennsylvania",4.677165620718236,0.008141863835469216,0
42,42015,2,48,1,11,"Bradford County, Pennsylvania",59967,"Bradford County, Pennsylvania",4.744590596371155,0.8004402421331732,0.033351676755548884
42,42023,0,3,1,11,"Cameron County, Pennsylvania",4547,"Cameron County, Pennsylvania",10.236966824644549,0.6597756762700682,0
42,42025,3,123,1,11,"Carbon County, Pennsylvania",64749,"Carbon County, Pennsylvania",5.119940494638319,1.8996432377334014,0.046332761895936624
42,42027,4,90,1,11,"Centre County, Pennsylvania",158172,"Centre County, Pennsylvania",4.06077519379845,0.5690008345345573,0.025288925979313658
42,42033,0,1,1,11,"Clearfield County, Pennsylvania",80562,"Clearfield County, Pennsylvania",7.390199240208806,0.012412800079441922,0
42,42035,1,26,1,11,"Clinton County, Pennsylvania",37450,"Clinton County, Pennsylvania",5.767595152030618,0.6942590120160214,0.026702269692923896
42,42037,1,69,1,11,"Columbia County, Pennsylvania",64727,"Columbia County, Pennsylvania",4.462235462049277,1.0660157275943578,0.015449503298468953
42,42041,11,351,1,11,"Cumberland County, Pennsylvania",259469,"Cumberland County, Pennsylvania",3.4586672145743442,1.352762757786094,0.04239427446053286
42,42043,15,540,1,11,"Dauphin County, Pennsylvania",286401,"Dauphin County, Pennsylvania",4.35853626738577,1.8854682769962394,0.0523741188054511
42,42045,0,1,1,11,"Delaware County, Pennsylvania",576830,"Delaware County, Pennsylvania",6.185421849122642,0.0017336130229010278,0
42,42055,7,185,1,11,"Franklin County, Pennsylvania",155932,"Franklin County, Pennsylvania",3.9187040221340195,1.1864145909755535,0.0448913629017777
42,42057,0,13,1,11,"Fulton County, Pennsylvania",14556,"Fulton County, Pennsylvania",5.2456747404844295,0.8931025006870019,0
